id,reviews.text,review_length,sentiment_polarity
AV13O1A8GV-KLJ3akUyj,i love this album. it's very good. more to the hip hop side than her current pop sound.. SO HYPE! i listen to this everyday at the gym! i give it 5star rating all the way. her metaphors are just crazy.,19,0.13333333333333336
AV14LG0R-jtxr-f38QfS,Good flavor. This review was collected as part of a promotion.,6,0.7
AV14LG0R-jtxr-f38QfS,Good flavor.,2,0.7
AV16khLE-jtxr-f38VFn,"I read through the reviews on here before looking in to buying one of the couples lubricants, and was ultimately disappointed that it didn't even live up to the reviews I had read. For starters, neither my boyfriend nor I could notice any sort of enhanced or 'captivating' sensation. What we did notice, however, was the messy consistency that was reminiscent of a more liquid-y vaseline. It was difficult to clean up, and was not a pleasant, especially since it lacked the 'captivating' sensation we had both been expecting. I'm disappointed that I paid as much as I did for a lube that I won't use again, when I could just use their normal personal lubricant for 1) less money and 2) less mess.",55,-0.007174688057040997
AV16khLE-jtxr-f38VFn,My boyfriend and I bought this to spice things up in the bedroom and we were both highly disappointed in this product. We bought this one because we absolutely love the ky yours and mine and we thought this would have a similar affect but it did absolutely nothing. Do not buy.,21,-0.012499999999999997
AV16khLE-jtxr-f38VFn,tried it with my husband and felt no different there was no effect no change first te using ky gel not sure if i want to try any others...,15,0.25
AV16khLE-jtxr-f38VFn,"Bought this to enhance our time a bit, did abslutely nothing very disappointed especially because its almost 20!",9,-0.375
AV16khLE-jtxr-f38VFn,I bought this product to spice things up with my fianc and it didn't do anything! No passion. Will not buy again,9,0.0
AV16khLE-jtxr-f38VFn,"I noticed this product on clearance at a store I shop frequently and decided to give it a try. My husband and I LOVE it! We went back and bought every box left! I, like others have mentioned, am not sure what it is supposed to do other than be a lubricant but for that purpose we like it much better than regular KY Jelly (which tends to dry out and disappear for us). This product stays on for awhile and makes for a very pleasurable experience. The only drawback is that we find it to be a bit sticky. After applying it with your hands you're left with a sticky hand and I agree a little goes a long way! I personally have to be very careful with all products due to skin irritation and surprisingly this actually seems to help that. I did NOT receive a sample and never have.",68,0.07648809523809523
AV16khLE-jtxr-f38VFn,Loved This review was collected as part of a promotion.,5,0.7
AV1d76w7vKc47QAVhCqn,"yes, the scent is the best. if you like lemon frosting you won't be able to get enough of this lotion. but also, it's almost 100 natural, none of the yucky ingredients like in major brands of lotion. no mineral oil, no petroleum, etc. but also, it completely works. you know how sometimes you opt for organic choices and it's good, but not as good as popular but nastier brands jr watkins delivers. this lotion softens your hands and body, leaves you ungreasy and smells perfect. even my fiance likes it and uses it and he's pretty much anti-lotion in all regards. the price is absolutely right, too--get it!",62,0.42293956043956055
AV1h6gSl-jtxr-f31p40,Not sure how this works with clearing your complexion (been using for 2 weeks now) but does keep your skin smooth and clean.,10,0.4222222222222222
AV1h6gSl-jtxr-f31p40,Makes my skin feel clean and not super dry where its ashy if i dont follow with a moisturiser as soon as im done. The skin doesnt feel oily or tacky. Makes my skin more radiant and use of foundation and concealer is not needed to make the skin look even and hydrated.,30,0.2111111111111111
AV1h6gSl-jtxr-f31p40,It makes my face feel nice and fresh. After about 3 days i did get slight acne but it cleared right back up! Will deff use this every day from now on!,16,0.2038095238095238
